2026/06/16 08:35更新,#genre#
郎溪新闻频道,http://124.112.189.64:4022/rtp/238.1.78.214:7584
金寨综合频道,http://124.112.189.64:4022/rtp/238.1.79.21:4280
祁门综合频道,http://124.112.189.64:4022/rtp/238.1.79.14:4224
繁昌新闻综合,http://124.112.189.64:4022/rtp/238.1.78.190:7392
湾沚综合频道,http://124.112.189.64:4022/rtp/238.1.78.187:7368
潜山综合频道,http://124.112.189.64:4022/rtp/238.1.78.192:7408
无为新闻频道,http://124.112.189.64:4022/rtp/238.1.78.188:7376
广德新闻综合,http://124.112.189.64:4022/rtp/238.1.78.212:7568
广德生活频道,http://124.112.189.64:4022/rtp/238.1.78.213:7576
屯溪融媒频道,http://124.112.189.64:4022/rtp/238.1.79.45:4472
南陵新闻综合,http://124.112.189.64:4022/rtp/238.1.78.189:7384
休宁新闻综合,http://124.112.189.64:4022/rtp/238.1.79.20:4272
临泉新闻频道,http://124.112.189.64:4022/rtp/238.1.78.29:6160
义安新闻综合,http://124.112.189.64:4022/rtp/238.1.78.211:7560
☘️北京市,#genre#
北京国际频道,http://115.171.216.32:4000/rtp/225.1.8.131:8002
北京影视频道,http://115.171.216.32:4000/udp/225.1.8.82:8000
北京新闻频道,http://115.171.216.32:4000/udp/225.1.8.83:8000
北京生活频道,http://115.171.216.32:4000/udp/225.1.8.108:8002
北京文艺频道,http://115.171.216.32:4000/udp/225.1.8.22:8002
北京财经频道,http://115.171.216.32:4000/udp/225.1.8.106:8002
北京IPTV淘BABY,http://115.171.216.32:4000/rtp/225.1.8.36:8002
北京IPTV淘娱乐,http://115.171.216.32:4000/rtp/225.1.8.61:8002
北京IPTV萌宠TV,http://115.171.216.32:4000/rtp/225.1.8.63:8002
北京体育休闲,http://115.171.216.32:4000/udp/225.1.8.23:8002
北京IPTV淘电影,http://115.171.216.32:4000/rtp/225.1.8.38:8002
北京IPTV淘剧场,http://115.171.216.32:4000/rtp/225.1.8.37:8002
朝阳融媒,http://115.171.216.32:4000/rtp/225.1.8.69:8002
房县综合,http://59.174.162.239:4022/rtp/239.69.1.192:10794
房山电视台,http://115.171.216.32:4000/rtp/225.1.8.68:8002
密云电视台,http://115.171.216.32:4000/rtp/225.1.8.75:8002
延庆电视台,http://221.220.129.233:8012/rtp/239.3.1.187:8001
☘️上海市,#genre#
新闻综合,http://123.179.63.66:4022/rtp/239.29.0.208:5000
都市频道,http://106.59.2.85:55555/rtp/239.200.200.12:8844
东方财经,http://171.213.239.229:8188/udp/239.94.1.59:5140
上海游戏风云,http://36.49.55.163:8800/rtp/239.37.0.243:5540
☘️重庆市,#genre#
热播剧场,http://171.213.239.229:8188/udp/239.94.1.25:5140
古装剧场,http://221.220.129.233:8012/rtp/239.3.1.69:4120
☘️福建省,#genre#
福建综合频道,http://112.109.206.208:9999/rtp/239.255.40.148:8208
福建公共频道,http://112.109.206.208:9999/rtp/239.255.40.150:8208
福建新闻频道,http://112.109.206.208:9999/rtp/239.255.40.151:8208
福建电视剧频道,http://112.109.206.208:9999/rtp/239.255.40.152:8208
福建经济频道,http://112.109.206.208:9999/rtp/239.255.40.154:8208
福建文体频道,http://112.109.206.208:9999/rtp/239.255.40.155:8208
福建少儿频道,http://112.109.206.208:9999/rtp/239.255.40.156:8208
福建教育频道,http://112.109.206.208:9999/rtp/239.255.40.106:8208
福建旅游频道,http://112.109.206.208:9999/rtp/239.255.40.153:8208
厦门一套,http://112.109.206.208:9999/rtp/239.255.40.171:8208
平潭卫视,http://112.109.206.208:9999/rtp/239.255.40.191:8208
龙岩综合频道,http://112.109.206.208:9999/rtp/239.255.40.160:8208
福州新闻,http://112.109.206.208:9999/rtp/239.255.40.170:8208
泉州一套,http://112.109.206.208:9999/rtp/239.255.40.172:8208
莆田新闻,http://112.109.206.208:9999/rtp/239.255.40.140:8208
华数电视剧,http://106.59.2.85:55555/rtp/239.200.200.72:9020
☘️广东省,#genre#
广东珠江频道,http://113.119.24.33:58888/udp/239.77.0.1:5146
广东新闻频道,http://113.119.24.33:58888/udp/239.77.0.173:5146
广东民生频道,http://113.119.24.33:58888/udp/239.77.0.225:5146
广东体育频道,http://113.119.24.33:58888/udp/239.77.0.112:5146
广东经济科教,http://113.119.24.33:58888/udp/239.77.0.85:5146
广东影视频道,http://113.119.24.33:58888/udp/239.77.0.217:5146
广东少儿频道,http://113.119.24.33:58888/udp/239.77.0.250:5146
广东综艺4K,http://113.119.24.33:58888/udp/239.77.0.252:5146
广州影视频道,http://113.119.24.33:58888/udp/239.253.43.73:5146
广州综合频道,http://113.119.24.33:58888/udp/239.253.43.71:5146
广州新闻频道,http://113.119.24.33:58888/udp/239.253.43.72:5146
广州法治频道,http://113.119.24.33:58888/udp/239.253.43.74:5146
南国都市4K,http://113.119.24.33:58888/udp/239.253.43.99:5146
深圳电视剧频道,http://113.119.24.33:58888/udp/239.77.1.177:5146
深圳财经生活,http://113.119.24.33:58888/udp/239.77.1.242:5146
深圳体育健康,http://113.119.24.33:58888/udp/239.77.1.128:5146
深圳少儿频道,http://113.119.24.33:58888/udp/239.77.1.244:5146
宝安频道,http://113.119.24.33:58888/udp/239.77.1.67:5146
深圳龙岗频道,http://113.119.24.33:58888/udp/239.77.1.223:5146
佛山公共频道,http://113.119.24.33:58888/udp/239.253.43.53:5146
佛山南海频道,http://113.119.24.33:58888/udp/239.253.43.54:5146
佛山顺德频道,http://113.119.24.33:58888/udp/239.253.43.55:5146
佛山影视频道,http://113.119.24.33:58888/udp/239.253.43.56:5146
佛山综合频道,http://113.119.24.33:58888/udp/239.253.43.57:5146
东莞生活资讯,http://113.119.24.33:58888/udp/239.253.43.105:5146
湛江公共频道,http://113.119.24.33:58888/udp/239.77.0.140:5146
揭阳综合频道,http://113.119.24.33:58888/udp/239.77.0.229:5146
揭阳生活频道,http://113.119.24.33:58888/udp/239.77.0.251:5146
汕尾文化生活,http://113.119.24.33:58888/udp/239.77.0.187:5146
江门综合频道,http://113.119.24.33:58888/udp/239.77.0.201:5146
江门侨乡生活,http://113.119.24.33:58888/udp/239.77.0.202:5146
潮州综合频道,http://113.119.24.33:58888/udp/239.253.43.70:5146
潮州民生频道,http://113.119.24.33:58888/udp/239.253.43.75:5146
HZTV-1,http://113.119.24.33:58888/udp/239.77.1.232:5146
HZTV-2,http://113.119.24.33:58888/udp/239.77.1.233:5146
珠海-1,http://113.119.24.33:58888/udp/239.77.0.155:5146
肇庆综合频道,http://113.119.24.33:58888/udp/239.253.43.1:5146
肇庆生活服务,http://113.119.24.33:58888/udp/239.253.43.2:5146
河源综合频道,http://113.119.24.33:58888/udp/239.253.43.213:5146
河源公共频道,http://113.119.24.33:58888/udp/239.253.43.214:5146
清远文旅生活,http://113.119.24.33:58888/udp/239.253.43.34:5146
云浮综合频道,http://113.119.24.33:58888/udp/239.77.0.253:5146
云浮文旅频道,http://113.119.24.33:58888/udp/239.77.0.254:5146
